company,price,change
Microsoft Corporation (MSFT),370.73,(+1.31%)
International Business Machines Corporation (IBM),162.23,(-0.42%)
General Electric Company (GE),123.23,(+1.55%)
Union Pacific Corporation (UNP),241.98,(-0.36%)
Costco Wholesale Corporation (COST),658.82,(+4.45%)
McDonald's Corporation (MCD),287.27,(-0.95%)
Visa Inc. (V),258.03,(-0.27%)
Walmart Inc. (WMT),152.74,(+0.37%)
The Walt Disney Company (DIS),93.46,(-0.51%)
3M Company (MMM),106.98,(-0.06%)
Intel Corporation (INTC),46.16,(+2.17%)
American Express Company (AXP),180.51,(+0.92%)
Apple Inc. (AAPL),197.57,(-0.27%)
The Boeing Company (BA),264.27,(+3.13%)
"Cisco Systems, Inc. (CSCO)",49.87,(+0.87%)
"The Goldman Sachs Group, Inc. (GS)",380.51,(-0.77%)
JPMorgan Chase & Co. (JPM),165.23,(+0.76%)
"Salesforce, Inc. (CRM)",261.60,(+1.71%)
Verizon Communications Inc. (VZ),37.37,(-1.32%)
